Positive,Negative,Neutral,Time
0.272,0.0,0.728,2012-09-17
0.256,0.054,0.69,2012-06-18
0.204,0.0,0.796,2011-08-06
0.161,0.046,0.793,2012-04-23
0.413,0.063,0.524,2012-10-14
0.269,0.036,0.695,2012-05-09
0.212,0.074,0.715,2012-05-05
0.167,0.318,0.515,2011-06-29
0.095,0.0,0.905,2011-08-11
0.193,0.027,0.78,2012-04-23
0.233,0.0,0.767,2012-01-01
0.226,0.0,0.774,2011-12-16
0.161,0.0,0.839,2011-10-20
0.161,0.089,0.75,2011-08-02
0.375,0.088,0.537,2011-01-20
0.205,0.031,0.764,2009-02-17
0.116,0.248,0.636,2010-12-18
0.358,0.0,0.642,2010-12-18
0.339,0.0,0.661,2011-05-22
0.0,0.0,1.0,2012-09-09
0.17,0.0,0.83,2007-09-09
0.498,0.0,0.502,2010-07-07
0.362,0.0,0.638,2008-07-10
0.251,0.046,0.703,2008-04-29
0.2,0.0,0.8,2008-01-13
0.213,0.0,0.787,2009-11-27
0.211,0.234,0.556,2007-08-11
0.095,0.093,0.813,2007-07-10
0.088,0.215,0.697,2008-04-05
0.035,0.194,0.771,2012-07-22
0.309,0.0,0.691,2009-11-14
0.279,0.019,0.702,2007-12-31
0.046,0.0,0.954,2010-10-30
0.192,0.036,0.772,2012-06-13
0.287,0.0,0.713,2009-11-11
0.192,0.05,0.758,2012-07-26
0.105,0.016,0.879,2012-07-04
0.198,0.0,0.802,2012-02-02
0.185,0.0,0.815,2010-08-23
0.086,0.0,0.914,2010-01-30
0.278,0.0,0.722,2011-04-09
0.406,0.0,0.594,2012-05-09
0.131,0.07,0.799,2012-08-13
0.025,0.166,0.809,2011-08-10
0.216,0.0,0.784,2012-08-15
0.037,0.148,0.815,2012-07-16
0.211,0.035,0.754,2012-05-22
0.139,0.0,0.861,2012-04-26
0.096,0.223,0.68,2012-04-26
0.258,0.055,0.687,2012-04-17
0.161,0.017,0.821,2012-04-13
0.194,0.0,0.806,2012-04-10
0.154,0.029,0.817,2012-04-10
